Название,User ID,Тип объекта
Оптимизация процессов 6,3,Кейс
Оптимизация процессов 2,3,Кейс
Оптимизация процессов 2,2,Кейс
Talent Coordinator,9098,Вакансия
Мы запустили новый онлайн-курс по подготовке к GMAT!,3942,Другое
Открыта регистрация на стажировку Tele2 Новые герои,21591,Мероприятие
Открыта регистрация на карьерный вебинар от Школы Changellenge >>,18679,Мероприятие
Открыт прием заявок на оплачиваемую стажировку Sberseasons,20471,Мероприятие
Storylining в PowerPoint: создаем историю презентации,933,Статья
Удобные таск-менеджеры для удаленной работы,933,Статья
Регистрируйся на бесплатный вебинар в рамках онлайн-курсов Changellenge >> ToolKit,15726,Мероприятие
Десять образовательных платформ для онлайн-обучения,18679,Статья
Регистрируйся на бесплатный вебинар в рамках онлайн-курсов Changellenge >> ToolKit,1490,Мероприятие
Открыт прием заявок на День Карьеры Changellenge >> Cup Russia в онлайн-формате,15726,Мероприятие
Project Manager,516,Вакансия
4 вакансий в отделе Project Management,516,Вакансия
Стажер по проектам развития бизнеса,516,Вакансия
Открыт набор заявок на оплачиваемую стажировку HeadStart,18679,Мероприятие
"Регистрируйся в личном кабинете, чтобы бесплатно прочитать электронную версию",18100,Чемпионат
Searching как искусство: где и как правильно искать информацию,4205,Статья
Регистрируйся на самый масштабный день карьеры в онлайн-формате!,2683,Другое
Начни работу в корпоративном и инвестиционном банкинге,2683,Другое
Закрывается прием заявок на курс «Разгляди себя в нефтегазе» от компании «Шлюмберже»,17715,Мероприятие
Стажер (Logistic),17388,Вакансия
Финансовый аналитик по логистическим затратам,17388,Вакансия
Стажер в отдел закупок,17388,Вакансия
Закрывается прием заявок на курс «Разгляди себя в нефтегазе» от компании «Шлюмберже»,16978,Мероприятие
"Чтобы заниматься стратегией профессионально, нужно принимать правильные решения для сложных задач",4205,Статья
Мастер-джедай: кто такой ментор и зачем он нужен,4205,Статья
Зачем консультанту Data Science,4906,Статья
Проджект менеджер,2683,Мероприятие
Последние дни регистрации на первый День Карьеры Cup IT/Tech в онлайн-формате,2683,Мероприятие
Открыта регистрация на обучение на онлайн-курсах Changellenge >> ToolKit за 990 р,15837,Мероприятие
Закрывается прием заявок на вебинар по разбору кейса от Bain & Company,15837,Мероприятие
"Intern, Transaction Services, Financial Services Sector",2942,Вакансия
"Intern, Corporate Risk Management",2942,Вакансия
"Младший консультант, Группа по оценке финансового сектора",2942,Вакансия
"Intern, Deal Strategy Group",2942,Вакансия
"Intern, Financial Risk Management Group (Modelling)",2942,Вакансия
"Intern (Financial Advisory Services, Management Consulting)",2942,Вакансия
Стажер/Младший консультант (практика по работе с клиентами энергетики и ЖКХ),2942,Вакансия
"Intern (Strategy and Operations, Management Consulting)",2942,Вакансия
Один дома: как работать на удаленке,4205,Статья
"Семь лучших книг, которые научат управлять своими эмоциями",4205,Статья
Как уйти в отпуск,2942,Статья
Почему вам нужен ментор,2942,Статья
Какие интересные и полезные книги почитать в праздники,2942,Статья
Один дома: как работать на удаленке,2942,Статья
Как провести каникулы с пользой для карьеры: 7 советов от экспертов Санофи и генерального директора Changellenge >>,2942,Статья
Вы должны постоянно быть на виду,2942,Статья
Как строить карьеру в компании: от трудоустройства до первого повышения.,2942,Статья
6 правил продуктивного конфликта,2942,Статья
Избавиться от «мертвых душ» в команде,2942,Статья
Как составить сопроводительное письмо: 11 полезных советов,2942,Статья
Что такое Problem Solving Test и как к нему подготовиться?,2942,Статья
VCV: что такое видеоинтервью и как к нему подготовиться,2942,Статья
Как продуктивно проводить выходные: 10 главных правил,2942,Статья
"5 TED-выступлений, которые необходимо посмотреть перед следующим собеседованием",2942,Статья
Финансы для неофитов: как перестать бояться и полюбить денежные потоки,2942,Статья
"Слайды, драконы и тайм-менеджмент: CFA Level I за 60 часов",2942,Статья
13 способов победить выгорание,2942,Статья
Что такое фит-интервью и как его пройти,2942,Статья
Как пройти PST-тестирование и его аналоги во время отбора,2942,Статья
GMAT: что почитать и посмотреть для подготовки,2942,Статья
Как впечатлить робота-рекрутера и построить карьеру в эпоху уберизации,2942,Статья
Путевка в консалтинг: секреты успешного кейс-интервью,2942,Статья
Как одеться на собеседование,2942,Статья
5 полезных функций Excel для финмоделирования,2942,Статья
Как визуализировать данные в Excel. Часть 1,2942,Статья
Как визуализировать данные в Excel. Часть 2,2942,Статья
"Как строить планы, которые сбудутся",2942,Статья
"Карьера в FMCG: Лидерство, SNICKERS и переговоры с Китаем",2942,Статья
Карьерные провалы выдающихся предпринимателей,2942,Статья
Как решать нестандартные задачи и строить диаграмму «Водопад» в Exсel,2942,Статья
Консалтинг или бизнес: что выбрать?,2942,Статья
Как построить личный бренд,2942,Статья
Как выжить в разных корпоративных культурах,2942,Статья
Почему ваши планы не сбудутся,2942,Статья
"8 техник переговоров, которые помогут добиться своего",2942,Статья
