,position,skills,position_lower
1649,Серверный программист (gamedev),Unity; C#; MySQL; Java; PostgreSQL; MS SQL Server; Git; TCP/UPD; Многопоточное программирование; Сервер,серверный программист (gamedev)
1650,Менеджер проектов (руководитель проекта),Project management; Agile Project Management; Scrum; Team management; Leadership Skills; Product Management; Teambuilding; Tasks Tracking Sytems; Multitasking; Development,менеджер проектов (руководитель проекта)
1651,Fullstack Javascript разработчик,JavaScript; HTML; CSS; Работа в команде; Коммуникабельность; Ориентация на результат; Scrum,fullstack javascript разработчик
1652,Руководитель интернет-магазина гаджетов,B2C продажи; Яндекс.Директ; Google Analytics; Планирование рекламных кампаний; Google AdWords; HTML; Интернет маркетинг; Продажи через интернет; Adobe Photoshop; Планирование продаж; Активные продажи; SMM; Интернет-реклама; Развитие продаж; SEO; Управление продажами,руководитель интернет-магазина гаджетов
1653,PHP разработчик (1С-Битрикс),Ответственность; Инициативность; Целеустремленность,php разработчик (1с-битрикс)
1654,Ведущий Perl разработчик,Perl; PostgreSQL; SQL; HTML; Linux; JavaScript; CRM; XML,ведущий perl разработчик
1655,QA engineer (manual testing) middle,QA; Test case; Проведение тестирований; Функциональное тестирование; Регресcионное тестирование; Тестирование пользовательского интерфейса; Тестирование; Работа в команде,qa engineer (manual testing) middle
1656,Консультант SAP SD,SAP SD,консультант sap sd
1657,Дизайнер по оформлению сайта,Графические редакторы; Графический дизайн; Web-дизайн; Adobe Photoshop,дизайнер по оформлению сайта
1658,Ведущий разработчик ПО в среде OpenStack/Kubernetes,Golang; Linux; Ansible; OpenStack; Kubernetes; Python,ведущий разработчик по в среде openstack/kubernetes
1659,Системный администратор Zabbix,Zabbix; Linux,системный администратор zabbix
1660,Web-master,jQuery; Git; HTML5; JavaScript; CSS3,web-master
1661,Инженер компьютерное зрение (computer vision engeneer),компьютерное зрение; deep learning; caffe; TensorFlow; machine learning; Computer vision; Python; Linux,инженер компьютерное зрение (computer vision engeneer)
1662,Java Developer,Java; Spring Framework,java developer
1663,Инженер по установке и обслуживанию оборудования,Исполнительность; Ответственность; Стрессоустойчивость,инженер по установке и обслуживанию оборудования
1664,Разработчик настольных приложений С++,С#; C++,разработчик настольных приложений с++
1665,Помощник системного администратора,Английский язык; Офисная техника; Windows 7; TCP/IP; MS Office; Деловая переписка; 1С: Документооборот,помощник системного администратора
1666,Программист 1C,1С: Управление Производственным Предприятием; 1С: Предприятие 8; 1С программирование; CRM,программист 1c
1667,Разработчик,C#; ASP.NET; .NET Framework; HTML; HTML5; CSS3; JavaScript,разработчик
1668,Web программист (JavaScript),JavaScript; AngularJS; HTML5; CSS3; Amazon Web Services AWS; WebGL; ThreeJS,web программист (javascript)
1669,Frontend-разработчик,JavaScript; HTML5; CSS3; AngularJS; Git; jQuery; React js; Redux,frontend-разработчик
1670,Разработчик С#/.Net,C#; .NET; Xamarin; Android; iOS; Git; Atlassian Jira,разработчик с#/.net
1671,Младший разработчик под iOS (Swift),iOS; Swift; Objective-C; ООП; Git; iOS SDK; JIRA; Rx; Unit Testing,младший разработчик под ios (swift)
1672,Программист,C++; C#; Delphi; PHP; JavaScript; MS SQL; Firebird,программист
1673,Специалист по тестированию ПО,Модульное тестирование; Нагрузочное тестирование; iOS; Android; WebSocet; Unit Testing; Git; .NET Framework; Atlassian Jira; Redmine; Game Programming,специалист по тестированию по
1674,Сервисный инженер по обслуживанию весового оборудования,Технический склад ума; Опыт работы с весовым оборудованием,сервисный инженер по обслуживанию весового оборудования
1675,IT Специалист,Настройка ПК; Настройка ПО; Настройка сетевых подключений; Офисная техника; Windows 7,it специалист
1676,Программист PHP,PHP; MySQL; ORACLE; Java,программист php
1677,Электромонтажник,Монтаж оборудования; Производство пусконаладочных работ; Прокладка кабелей; Системы охранно-тревожной сигнализации; Проектирование и монтаж пожарной сигнализации; Системы видеонаблюдения; Электромонтажные работы,электромонтажник
1678,Специалист по контекстной рекламе / директолог,Контекстная реклама; SEO; Google AdWords; Google Analytics; Яндекс.Метрика; Интернет-реклама; Яндекс.Директ; Internet Marketing; Веб-аналитика; Баннерная реклама; Поисковая оптимизация сайтов; Продвижение сайтов,специалист по контекстной рекламе / директолог
1679,Помощник IT специалиста,"IT специалист, контент-менеджер, администрирование сайта",помощник it специалиста
1680,Инженер-программист 1C,1С программирование; 1С: Предприятие 8; MS SQL; Работа в команде; Телефонные переговоры; Деловое общение; Техническая поддержка; СУБД; Учет затрат; XML; JSON API; Создание конфигурации 1С; Cистемы управления базами данных; Деловая коммуникация; 1С: Комплексная автоматизация; 1С: Предприятие: Бухгалтерский Учет; Коммуникабельность; Инициативность; Проектирование пользовательских интерфейсов; Администрирование; PostgreSQL; Оптимизация запросов; Внутренние коммуникации; Ответственность; Исполнительность; Работа с большим объемом информации; уверенное знание; Уверенное знание типовых конфигураций 1С 8,инженер-программист 1c
1681,Middle QA Engineer,QA; Тестирование; Английский язык; Manual QA; GameDev; Системы контроля версий,middle qa engineer
1682,Web-аналитик / Data-аналитик (Digital Marketing),Business Intelligence Systems; WEB аналитика; Интернет маркетинг; Google Analytics; Яндекс.Метрика; Internet Marketing; Интернет-реклама; Веб-аналитика; Управление интернет-проектами,web-аналитик / data-аналитик (digital marketing)
1683,Ведущий разработчик Android приложений,ООП; Apache Maven; REST; Java; Git; Google Play; Rx; SQLite; kotlin; Android SDK,ведущий разработчик android приложений
1684,3D-дизайнер,Графический дизайн; Дизайн полиграфии; Adobe Illustrator; Графика; Web-дизайн; 3D Моделирование; 3ds Max; 3D,3d-дизайнер
1685,Web мастер / web разработчик,Администрирование сайтов; Поисковая оптимизация сайтов; CSS; Создание сайтов,web мастер / web разработчик
1686,Администратор IPSM,SAP; MS SharePoint; Английский язык; CRM; Программирование; IPSM; Оптимизация бизнес-процессов; Работа в команде,администратор ipsm
1687,Стажер Web-разработчик,Bootstrap; jQuery; HTML; JavaScript; CSS; 1С-Битрикс,стажер web-разработчик
1688,"Автор информационных статей, рерайтер, копирайтер",Грамотность; Написание текстов; Пользователь ПК; Высокая скорость печати; Написание статей,"автор информационных статей, рерайтер, копирайтер"
1689,Программист Python / Django,Python; JavaScript; HTML; CSS; Django Framework; PostgreSQL; Redis; Git,программист python / django
1690,Инженер-электронщик,Схемотехника электронного оборудования; Чтение электросхем; Настройка ПК; Linux; Техническое обслуживание,инженер-электронщик
1691,Middle Front-End developer,Front End; React.js; JavaScript; MySQL; HTML; CSS,middle front-end developer
1692,Middle/Senior Frontend developer,React; CSS; HTML; JavaScript; Git; E-Commerce,middle/senior frontend developer
1693,"Старший консультант SAP HR (PA, OM)","PY, PA, OM; SAP","старший консультант sap hr (pa, om)"
1694,Младший консультант SAP,My SAP ERP,младший консультант sap
1695,UI - разработчик,JavaScript; HTML; HTML5; Sass; Less; CSS; REST; Reac; UI,ui - разработчик
1696,Специалист по внедрению и сопровождению CRM Битрикс 24,Разработка нового продукта; Обучение персонала; Управление проектами; Моделирование бизнес процессов; CRM,специалист по внедрению и сопровождению crm битрикс 24
1697,Microsoft Power BI report designer (report developer),MS Power BI; Аналитические исследования; MS Excel; Business intelligence; R; Python; SQL,microsoft power bi report designer (report developer)
1698,Программист 1C,ERP-системы на базе 1С; 1С: Предприятие 8; 1С: Бухгалтерия; 1С: Зарплата и управление персоналом,программист 1c
1699,Звукорежисер на онлайн игру (стратегия),Креативность; Звукозапись; Монтаж звука,звукорежисер на онлайн игру (стратегия)
1700,Веб разработчик (Senior Developer),ASP.NET; JavaScript; HTML; jQuery; CSS; MS SQL; MS SQL Server; SQL; Transact-SQL; Ajax; HTML5; Git; CSS3; XML,веб разработчик (senior developer)
1701,Трафик-менеджер,amoCRM; Google AdWords; Google Analytics; Яндекс.Директ; Яндекс.Метрика; Yandex Direct; Контекстная реклама; Интернет-реклама; Internet Marketing; Веб-аналитика; Маркетинговый анализ; Продвижение сайтов,трафик-менеджер
1702,Стажер - консультант 1С,1С: Бухгалтерия; 1С: Зарплата и кадры; 1С: Предприятие 8; HTML; 1С: Документооборот; Обновление конфигурации 1С; Helpdesk; 1С: Парус; Парус,стажер - консультант 1с
1703,Motion Designer,Motion-дизайн; 3D,motion designer
1704,Junior JavaScript Developer,JavaScript; jQuery; CSS; HTML; Git,junior javascript developer
1705,Программист С++,C++; Linux; SQL,программист с++
1706,Программист-разработчик 1С,1С программирование; 1С: Бухгалтерия; 1С: Предприятие 8; 1С: Зарплата и управление персоналом; Банк-клиент; Бухгалтерская отчетность; Консультант плюс,программист-разработчик 1с
1707,Android разработчик,RxJava; Dagger; Android SDK; Kotlin,android разработчик
1708,Ведущий backend разработчик на Java,Redis; Git; Java; AWS; Linux; PostgreSQL,ведущий backend разработчик на java
1709,SEO-специалист / директолог,SMO; Копирайтинг; Лидогенерация; Составление семантического ядра; Управление бюджетом; SEO оптимизация; Формирование технического задания для разработки; Аудит поисковой видимости сайта; внешний аудит сайта; Внешняя оптимизация сайта; внутренний аудит сайта; Поисковая оптимизация мобильной версии сайта; Российские поисковые системы; Технический аудит сайта; Внутренняя оптимизация сайта; Контекстная реклама; Интернет-реклама,seo-специалист / директолог
1710,Junior программист (стажер) в Севастополь,PHP; HTML; JavaScript; CSS; ООП; jQuery; MySQL; 1С-Битрикс,junior программист (стажер) в севастополь
1711,User Acquisition Manager,Работа в команде; Клиентоориентированность; Баннерная реклама; Оперативный поиск информации в сети Интернет; Поиск и привлечение клиентов,user acquisition manager
1712,Специалист техподдержки оператора связи в БП Румянцево,"Опыт работы с оборудованием Cisco; Знание сетевых протоколов TCP/IP,DHCP,OSPF,EIGRP,VLAN,NAT",специалист техподдержки оператора связи в бп румянцево
1713,Системный администратор,TCP/IP; Администрирование серверов Linux; Администрирование серверов Windows; MySQL; MS SQL,системный администратор
1714,Менеджер проектов,Ведение переговоров; Управление проектами; Развитие продаж; Планирование продаж,менеджер проектов
1715,Менеджер проектов,Управление интернет-проектами; 1С-Битрикс; Руководство коллективом; Организаторские навыки; Управленческие навыки; Деловая коммуникация,менеджер проектов
1716,Инженер техподдержки,1С 8.2; 1С программирование; 1C: Бухгалтерия; 1С: Зарплата и управление персоналом; 1С: Предприятие 8; 1С: Документооборот; 1С: Управление Торговлей; 1С: Торговля и склад; СКД; Конвертация данных; УТ 10.3; Наличие сертификатов 1С,инженер техподдержки
1717,Senior Sales Manager,Прямые продажи; Поиск и привлечение клиентов; Активные продажи; B2B Продажи,senior sales manager
1718,Начальник лаборатории разработки интегральных схем,разработка интегральных схем; Cadence; AutoCAD,начальник лаборатории разработки интегральных схем
1719,Trainee IT Sales Manager/Lead Generation,Communication skills; Hardworking; Goal-oriented; Sales Skills; Business English; Analytical skills; Presentation skills,trainee it sales manager/lead generation
1720,Инженер-проектировщик систем безопасности,AutoCAD; Проектная документация; Системы видеонаблюдения; Системы охранно-тревожной сигнализации; Системы безопасности; слаботочные системы; Проектирование; Пожарная сигнализация; проектирование СКУД,инженер-проектировщик систем безопасности
1721,Системный аналитик/Функциональный консультант (SAP),MS Excel; сводные таблицы; простые макросы; Техническая документация,системный аналитик/функциональный консультант (sap)
1722,Senior Go (Golang) developer / DevOps oriented,Golang; Go,senior go (golang) developer / devops oriented
1723,Web-программист middle (Bitrix),1С-Битрикс; HTML; CSS; MySQL; Git,web-программист middle (bitrix)
1724,Администратор баз данных (Системный инженер-администратор СУБД),Коммуникабельность; Ответственность; Обучение и развитие,администратор баз данных (системный инженер-администратор субд)
1725,Системный администратор,Грамотная речь; Телефонные переговоры; Ориентация на результат; Работа в команде,системный администратор
1726,Руководитель строительного отдела,Монтаж инженерных систем; Настройка сетевых подключений; Монтаж оборудования; Техническое обслуживание,руководитель строительного отдела
1727,Помощник в отдел продаж,MS Excel; MS Word; Деловая переписка; Работа с оргтехникой; SAP,помощник в отдел продаж
1728,Менеджер онлайн-сервиса по выгулу собак,Групповое обучение; Обучение персонала; Контроль качества; Менеджмент; Организация тренинга для новых сотрудников; Проведение тренинга для новых сотрудников; Ветеринария; Мотивация персонала; Project management,менеджер онлайн-сервиса по выгулу собак
1729,Координатор процесса обновления ПО,Управление проектами; MS Project; Организаторские навыки; Организация мероприятий,координатор процесса обновления по
1730,Аналитик по клиентскому опыту,SQL; VBA; MS PowerPoint; MS Excel,аналитик по клиентскому опыту
1731,.NET разработчик (Backend),C#; ООП; Backend; Unit Testing; Git; LINQ; .NETCore; Redmine; ASP.NET; Entity Framework; .NET Framework,.net разработчик (backend)
1732,Web-программист,CSS; HTML; HTML5; Joomla CMS; CMS Wordpress; SEO; MySQL; PHP; PHP5; Adobe Photoshop; 1С-Битрикс; Администрирование сайтов; CSS3,web-программист
1733,Markedsførings konsulent /Administrator til nettbutikk (dansk /svensk),датский язык; шведский язык; Cоциальный маркетинг; Internet Marketing; Email маркетинг; Google Analytics; Social Media Marketing; Google AdWords; SMM; SEO-копирайтинг; Администрирование сайтов; E-Mail Marketing; Интернет-реклама,markedsførings konsulent /administrator til nettbutikk (dansk /svensk)
1734,Программист,PHP; MySQL; HTML; JavaScript; Yii; cohana,программист
1735,Magento 1 Developer,Magento; php developer; PHP; JavaScript,magento 1 developer
1736,Методист-программист,1С программирование; Автоматизация продаж,методист-программист
1737,Программист/Разработчик Xamarin,Xamarin; C#; .NET Framework; iOS; Android,программист/разработчик xamarin
1738,Системный администратор Linux (DevOps),Linux; Администрирование серверов Linux; CI/CD; TeamCity; docker; Python; Shell Scripting; Nginx,системный администратор linux (devops)
1739,Специалист по созданию мультимедийного контента (продюсер контента),Adobe Photoshop; Adobe Illustrator; Дизайн; Деловая коммуникация; Визуализация; Грамотность; Web Design; Креативность; Работа в команде; Digital Marketing; Грамотная речь; Английский язык,специалист по созданию мультимедийного контента (продюсер контента)
1740,"AngularJS, Front-end developer",AngularJS; JavaScript; HTML; CSS,"angularjs, front-end developer"
1741,Team Lead/Руководитель группы (JavaScript),JavaScript; HTML; CSS; Управление проектами,team lead/руководитель группы (javascript)
1742,Менеджер (руководитель) проекта по размещению информации о скидках на сайте,Управление интернет-проектами; Internet Marketing; Продвижение сайтов; Social Media Marketing; Наполнение контентом; B2B Продажи; Холодные продажи; Поиск и привлечение клиентов,менеджер (руководитель) проекта по размещению информации о скидках на сайте
1743,Технический писатель на английском языке,UX; UI; Дизайн интерфейсов; Копирайтинг; Bash; Английский язык; Тестирование пользовательского интерфейса; Маркетинг,технический писатель на английском языке
1744,Web-программист / Разработчик PHP (Magento),PHP; MySQL; Git; Magento,web-программист / разработчик php (magento)
1745,Backend PHP Developer,PHP5; MySQL; Git; ООП,backend php developer
1746,Инженер-СМУ,Управление проектами; Инженерные системы; Инжиниринг,инженер-сму
1747,Junior Backend PHP Developer,PHP; PHP5; PHP7; MySQL; Yii; ООП; Git; SQL; Codelgniter Framework; Zend Framework; Laravel; Symfony; Yii2; Symfony2; API,junior backend php developer
1748,Qt/QML программист,Qt; C++; ООП,qt/qml программист
1749,Программист PHP,PHP; jQuery; JavaScript; HTML; HTML5; Ajax; SQL,программист php
1750,Программист 1С,1С программирование; 1С: Предприятие 8; Обновление конфигурации 1С; СКД; 1С: Склад; Разработка технических заданий; SQL,программист 1с
1751,Сетевой инженер (мультисервисные маршрутизаторы),Linux; DHCP; Администрирование сетевого оборудования; Настройка сетевых подключений; Системы мониторинга сетей; TCP/IP; OSPF; BGP; Настройка DNS; Cisco,сетевой инженер (мультисервисные маршрутизаторы)
1752,Программист C# / asp.net,C#; MS SQL Server; ASP.NET; NHibernate; XML; Ext JS; Ajax; Git; MVC; castle windsor ioc contaner; Atlassian Jira,программист c# / asp.net
1753,SaaSOps Chief Architect,Java; C++; C#; .NET Framework; Oracle Pl/SQL; MS SQL; Git; Linux; jQuery; MySQL; HTML; PHP5; Python; Ruby On Rails; JavaScript; Bootstrap; Atlassian Jira; Spring Framework,saasops chief architect
1754,ASP.NET MVC программист,SiteCore; ASP.NET MVC,asp.net mvc программист
1755,Senior Developer C,C/C++; TCP/IP; Linux; Multithread Programming; Английский язык; Маршрутизация динамическая; Деловая переписка; Работа в команде,senior developer c
1756,Менеджер по работе с корпоративными клиентами,знание техники продаж; уверенный пользователь ПК и сети интернет; ведение и расширение клиентской базы,менеджер по работе с корпоративными клиентами
1757,Универсальный менеджер,Исполнение личных поручений руководителя; Исполнительность; B2B Продажи; Прием и распределение звонков; CRM; Ответственность; Стрессоустойчивость; Обеспечение жизнедеятельности офиса,универсальный менеджер
1758,Инженер группы кабельного телевидения,ктв; кабельное телевидение; Настройка сетевых подключений; Монтаж инженерных систем; составление схемы сети,инженер группы кабельного телевидения
1759,Системный администратор,Администрирование серверов Linux; Администрирование серверов Windows; Active Directory; TCP/IP; DHCP; Настройка DNS; Администрирование сайтов; Настройка сетевых подключений; MS SQL Server; Настройка ПК; Настройка серверов; VPN; WSUS; Настройка ПО,системный администратор
1760,SaaSOps Architect,saasops; devops; software; engineer; architect; network; system administration; Engineering; SaaS; iaas; paas; cloud computing; orchestration; Linux; Java; C++; Perl; Python; Ruby; remote; work from home; Business English; system admin; aws; sre; cloud migration; azure; ibm cloud; docker; VMware,saasops architect
1761,DevOps инженер / системный администратор Unix,Git; MySQL; PHP; Unix; Linux; FreeBSD; Nginx; Apache HTTP Server; Virtualization; Bash,devops инженер / системный администратор unix
1762,Инженер по информационным технологиям,MS SQL; PowerShell; С#; JavaScript; TCP/IP,инженер по информационным технологиям
1763,Системный администратор,Пользователь ПК; Работа с оргтехникой; Поиск информации в интернет; Internet; Офисная техника; Грамотная речь; Телефонные переговоры; Грамотность; Консультант плюс,системный администратор
1764,Бизнес- аналитик (менеджер по автоматизации ERP проектов),BPWin; 1С: Предприятие 8; Моделирование бизнес процессов; ARIS,бизнес- аналитик (менеджер по автоматизации erp проектов)
1765,"JavaScript-програміст (Three.js, WebGL)",Three.js; WebGL; JavaScript,"javascript-програміст (three.js, webgl)"
1766,Разработчик C#,C#; ORACLE; .NET Framework; RabbitMQ,разработчик c#
1767,Исследователь-разработчик (Applied Research & Development),Python; Deep Learning; Machine Learning; NLP,исследователь-разработчик (applied research & development)
1768,Senior Full-Stack Developer / Java,Java; Spring Framework; JavaScript; AngularJS; HTML; Less; CSS; PostgreSQL,senior full-stack developer / java
1769,Программист PHP,CRM системы; PHP; MySQL; JavaScript,программист php
1770,Frontend разработчик (Vue),JavaScript; HTML; CSS; Git; Vue; Vuex,frontend разработчик (vue)
1771,Интернет-маркетолог / SEO-специалист,SEO; Контекстная реклама; Интернет-реклама; Google AdWords; Яндекс.Директ; Поисковая оптимизация сайтов; Наполнение контентом; Веб-аналитика; Yandex Direct; Продвижение сайтов; Маркетинговый анализ,интернет-маркетолог / seo-специалист
1772,Дизайнер мобильных приложений Android / iOS APP,UX; UI; Adobe Photoshop; Веб-дизайн; Проектирование пользовательских интерфейсов; Usability; Web-дизайн; Дизайн интерфейсов; Web Design,дизайнер мобильных приложений android / ios app
1773,Инженер-программист Raspberry Pi,Raspberry; Linux; Hardware; микроконтроллеры; RFID; Встраиваемое оборудование,инженер-программист raspberry pi
1774,3D-дизайнер,3D Studio Max; 3D Моделирование; Дизайн; 3D-графика; Adobe Photoshop; Креативность,3d-дизайнер
1775,Full-stack Software Developer - Golang,Golang; MongoDB; Java; Python; Git; Linux; C++; PostgreSQL; C#; JavaScript; ReactJS; HTML5; CSS3,full-stack software developer - golang
1776,Бизнес технолог,MS Visio; Atlassian Jira; MS PowerPoint; MS Project; Работа в команде; IBSO,бизнес технолог
1777,Младший редактор сайта,Копирайтинг; Adobe Photoshop; Рерайтинг; Написание текстов; Наполнение контентом; Написание статей; Английский язык; Креативность; Редактирование; Пользователь ПК; Графический дизайн; Грамотная речь; Администрирование сайтов,младший редактор сайта
1778,PHP Developer,PHP5; Magento; jQuery; CSS3; Bootstrap,php developer
1779,Ведущий специалист по сопровождению АБС,Работа в команде; Сопровождение клиентов; Работа с большим объемом информации; Ориентация на результат; Работа с базами данных,ведущий специалист по сопровождению абс
1780,Мастер по обслуживанию абонентов,Клиентоориентированность; Ответственность; Технические навыки,мастер по обслуживанию абонентов
1781,Content Account Manager,Business Development; Leadership Skills; Английский язык; Negotiation skills; Teamplayer,content account manager
1782,Администратор по обработке заказов (Сфера строительства и ремонтных работ),Результативность; Самоконтроль; Целеустремленность,администратор по обработке заказов (сфера строительства и ремонтных работ)
1783,Руководитель IT-проектов (Project Manager),Agile Project Management; Управление командой; Scrum; Управление проектами; Лидерство,руководитель it-проектов (project manager)
1784,Старший менеджер по медийной рекламе,Медиабаинг; Медиапланирование; Ведение переговоров; Internet Marketing,старший менеджер по медийной рекламе
1785,Аналитик,Информационные технологии; технический писатель; анализ бизнес-процессов,аналитик
1786,Ведущий Web-дизайнер,Adobe Photoshop; Adobe Illustrator; Графический дизайн; Дизайн,ведущий web-дизайнер
1787,Менеджер проектов,Яндекс.Директ; Контекстная реклама; оптимизация рекламных кампаний; Внутренний аудит контекстной рекламы; Яндекс.Метрика; Google Analytics; Google AdWords; Управление проектами; Yandex Direct; Интернет-реклама; Управление интернет-проектами; Работа с большим пулом запросов,менеджер проектов
1788,PHP-программист,PHP; Yii,php-программист
1789,Инженер доступности сервисов (SRE),Python; Linux; Администрирование серверов Linux,инженер доступности сервисов (sre)
1790,Догситтер (Няня для собак),Ответственность; Любовь к собакам; Доброта,догситтер (няня для собак)
1791,UA Manager / Трафик-менеджер,Internet Marketing; Маркетинговое планирование; привлечение трафика; трафик менеджер; закупка мобильного трафика; Интернет-реклама; Маркетинговый анализ; Маркетинговые исследования; Планирование маркетинговых кампаний; Планирование рекламных кампаний,ua manager / трафик-менеджер
1792,SMM \ создание аккаунтов \ работа в соцсетях,Системное мышление; Аналитическое мышление; Системный подход; Английский язык; IT; Пользователь ПК; Поиск информации в интернет; SMM,smm \ создание аккаунтов \ работа в соцсетях
1793,Оператор,1С: Предприятие 8; 1С: Торговля и склад; Первичная бухгалтерская документация,оператор
1794,Менеджер по продажам,AutoCAD; 3D Моделирование; Autodesk Revit; 1С: Управление Торговлей; CRM; ArchiCAD; Навыки презентации; Активные продажи; B2B Продажи; Работа в команде; Навыки продаж; Поиск и привлечение клиентов; Прямые продажи; Деловое общение; Заключение договоров; Деловая переписка; Телефонные переговоры; Деловая коммуникация; Грамотная речь; Клиентоориентированность; Ведение переговоров; 3D-графика; Autodesk 3ds Max; 3ds Max; 3d принтеры; 3d печать; BIM; автоматизация проектирования,менеджер по продажам
1795,Technical Support Engineer (Junior),MS SQL; Английский язык,technical support engineer (junior)
1796,Интернет-маркетолог,Внешний аудит контекстной рекламы; SEO оптимизация; Email маркетинг; Автоматизация контекстных кампаний; Формирование технического задания для разработки; Составление семантического ядра; Контекстная реклама; Аудит SMM; SMM; SMO; WEB аналитика; Ведение групп в социальных сетях; Лидогенерация; Ведение мобильных рекламных кампаний; Яндекс.Директ; Google AdWords; Яндекс.Метрика; Google Analytics; Интернет-реклама; Internet Marketing; Social Media Marketing,интернет-маркетолог
1797,QA Lead,QA; Linux,qa lead
1798,Системный администратор,Грамотная речь; Деловая коммуникация; Ориентация на результат; Работа в команде; Клиентоориентированность; Работа с большим объемом информации; Пользователь ПК,системный администратор
1799,Веб-дизайнер,Adobe Photoshop; Sketch; Figma; Principle; Типографика,веб-дизайнер
1800,Ведущий специалист в отдел нематериальной мотивации,MS Excel; Ведение переговоров; Работа в команде; Деловое общение,ведущий специалист в отдел нематериальной мотивации
1801,Заместитель генерального директора,Грамотность; Деловая коммуникация; Креативность; Деловая переписка; Пользователь ПК; Делопроизводство; Internet; Заключение договоров; Написание текстов; Работа с оргтехникой; Документооборот; Обеспечение жизнедеятельности офиса,заместитель генерального директора
1802,Ведущий программист,C#; JavaScript; CSS3; .NET Framework; HTML5; Bootstrap; Ajax; MVC; MS SQL; Entity Framework,ведущий программист
1803,Креативный продюсер,Креативность; Написание текстов; Копирайтинг; Social Media Marketing; Сценарии; Редактирование,креативный продюсер
1804,Диспетчер по подключениям,Стрессоустойчивость; Ответственность,диспетчер по подключениям
1805,PHP (Yii/ Laravel/Symfony) developer /Программист разработчик,PHP; Yii; JavaScript; jQuery; Git; ООП; Linux; Laravel,php (yii/ laravel/symfony) developer /программист разработчик
1806,Системный администратор,Active Directory; Техническая поддержка; Администрирование сетевого оборудования; TCP/IP; DHCP; Настройка DNS; Настройка сетевых подключений; Настройка ПК,системный администратор
1807,Senior Frontend-разработчик,JavaScript; HTML5; AngularJS; REST,senior frontend-разработчик
1808,SEO-Специалист в студию Краснодара,Яндекс.Директ; Составление семантического ядра; Контекстная реклама; WEB аналитика; Управление бюджетом; Лидогенерация; Google AdWords; SEO; SEO оптимизация,seo-специалист в студию краснодара
1809,Data developer,Linux; MySQL; PostgreSQL; Работа в команде; Data Analysis; Big Data,data developer
1810,"Java-разработчик (middle, senior)",PostgreSQL; ООП; Java; Java EE; SQL; Git; Apache Tomcat; Intellij IDEA,"java-разработчик (middle, senior)"
1811,Front-end программист (React),JavaScript; React; Redux; Git; CSS3; HTML5; Node.js; TypeScript,front-end программист (react)
1812,Frontend-разработчик,JavaScript; HTML5; CSS3; Git,frontend-разработчик
1813,Разработчик 1С,1С программирование; 1С: Предприятие 8; 1С: Управление Производственным Предприятием,разработчик 1с
1814,Ведущий разработчик .NET,ООП; TDD; C#; .NET Framework; ASP.NET; SQL; RabbitMQ; MS Visual Studio,ведущий разработчик .net
1815,Специалист поддержки SAP (нормативно-справочная документация),SAP; Электрические системы и слаботочные системы; Эксплуатация электрооборудования,специалист поддержки sap (нормативно-справочная документация)
1816,Middle Back-End Developer (PHP),"PHP 5 (ООP, MVC)",middle back-end developer (php)
1817,Backend Node.js / Python / C++ Developer,websocket; rest api; Node.js; Python; JavaScript; C++; MySQL; Git; ML; Backend; PostgreSQL; API,backend node.js / python / c++ developer
1818,Сетевой инженер,Знания основ сетей и сетевых технологий; Модели OSI; Знание протоколов TCP/IP; Unix; CCNA; Linux,сетевой инженер
1819,Инженер по ремонту оргтехники,Знания электроники; Работа с паяльником; Ремонт оргтехники,инженер по ремонту оргтехники
1820,Senior backend developer,C++; Go; Python; Sailfish; Development,senior backend developer
1821,Менеджер по работе с клиентами,Грамотная речь; Пользователь ПК; Ведение переговоров; Организаторские навыки; 1С: Предприятие 8; Работа с большим объемом информации; Навыки продаж; Ориентация на результат; Телефонные переговоры; Активные продажи; B2B Продажи,менеджер по работе с клиентами
1822,Младший консультант SAP HCM,MS Excel; MS Word; Пользователь ПК; Internet; MS Office; Работа в команде; Работа с большим объемом информации; Умение работать в команде; Работа с базами данных,младший консультант sap hcm
1823,"Tools Automation Engineer, IEO",Jenkins; Groovy; Computer troubleshooting,"tools automation engineer, ieo"
1824,Менеджер по управлению проектами,amoCRM; Bitrix24; Аналитический склад ума; Пользователь ПК; Управление интернет-проектами; Деловая переписка; Деловое общение,менеджер по управлению проектами
